Model,VIN (1-10),County,City,2020 GEOID,State,Vehicle Location
MODEL 3,5YJ3E1EA5L,Yakima,Yakima,53077001000,WA,POINT (-120.60272 46.59656)
MODEL 3,5YJ3E1EA9K,Thurston,Olympia,53067011100,WA,POINT (-122.92018 47.04575)
MODEL S,5YJSA1H22F,Kitsap,Kingston,53035090102,WA,POINT (-122.4977 47.79802)
KONA,KM8K33AG7L,King,Seattle,53033003400,WA,POINT (-122.38591 47.67597)
MODEL 3,5YJ3E1EB1K,Yakima,Yakima,53077001202,WA,POINT (-120.51904 46.59782)
LEAF,JN1AZ0CP6B,Kitsap,Port Orchard,53035092200,WA,POINT (-122.63848 47.5414)
LEAF,1N4BZ0CP5G,Yakima,Toppenish,53077940006,WA,POINT (-120.31298 46.37508)
500,3C3CFFGE9H,Thurston,Olympia,53067010300,WA,POINT (-122.89165 47.03954)
MODEL Y,7SAYGDEE0P,Yakima,Yakima,53077001502,WA,POINT (-120.50729 46.60464)
MODEL 3,5YJ3E1EB6L,Kitsap,Silverdale,53035091302,WA,POINT (-122.69275 47.65171)
NIRO,KNDCC3LG5K,Thurston,Olympia,53067011000,WA,POINT (-123.04078 46.94792)
MODEL 3,5YJ3E1EA9J,Yakima,Yakima,53077000902,WA,POINT (-120.60272 46.59656)
OUTLANDER,JA4T5VA92R,Thurston,Yelm,53067012422,WA,POINT (-122.60735 46.94239)
MODEL 3,5YJ3E1EA3L,Snohomish,Lynnwood,53061051802,WA,POINT (-122.27734 47.83785)
NIRO,KNDCE3LG9K,King,Seattle,53033006000,WA,POINT (-122.36381 47.63046)
MODEL X,5YJXCDE29J,Snohomish,Snohomish,53061052112,WA,POINT (-122.1389 47.87115)
LEAF,1N4AZ1CP1L,Kitsap,Bremerton,53035080600,WA,POINT (-122.65223 47.57192)
MODEL X,5YJXCBE29G,King,Sammamish,53033032317,WA,POINT (-122.02054 47.60326)
MODEL 3,5YJ3E1EB8K,Yakima,Yakima,53077002801,WA,POINT (-120.60272 46.59656)
500,3C3CFFGE7G,Kitsap,Port Orchard,53035092704,WA,POINT (-122.63848 47.5414)
BOLT EV,1G1FZ6S02L,Thurston,Olympia,53067010400,WA,POINT (-122.89165 47.03954)
X5,5UXKT0C5XG,Thurston,Olympia,53067011822,WA,POINT (-123.04078 46.94792)
E-TRON,WA1VABGE1K,King,Kent,53033031704,WA,POINT (-122.10798 47.37124)
MODEL Y,5YJYGAEE2M,Stevens,Chewelah,53065950700,WA,POINT (-117.71555 48.28136)
X5,5UXTA6C07M,Snohomish,Bothell,53061051937,WA,POINT (-122.18384 47.8031)
MODEL Y,5YJYGDEFXL,Snohomish,Bothell,53061051937,WA,POINT (-122.18384 47.8031)
MODEL Y,5YJYGDEF5L,King,Renton,53033029308,WA,POINT (-122.19488 47.44034)
MODEL Y,5YJYGDEF5L,Kitsap,Silverdale,53035091205,WA,POINT (-122.69275 47.65171)
VOLT,1G1RA6S53H,Thurston,Yelm,53067012422,WA,POINT (-122.60735 46.94239)
MODEL S,5YJSA1E26J,Snohomish,Mukilteo,53061042005,WA,POINT (-122.29196 47.89908)
WRANGLER,1C4JJXP66M,Yakima,Zillah,53077002202,WA,POINT (-120.26226 46.40199)
Q6,WA134BGF1S,Kitsap,Seabeck,53035091301,WA,POINT (-122.81585 47.64509)
LEAF,JN1AZ0CPXB,Kitsap,Bainbridge Island,53035090901,WA,POINT (-122.521 47.62759)
XC90,YV4BR00Z9N,Kitsap,Suquamish,53035940100,WA,POINT (-122.55242 47.73162)
BOLT EV,1G1FX6S00J,Kitsap,Bainbridge Island,53035090800,WA,POINT (-122.521 47.62759)
MODEL 3,5YJ3E1EA4K,Snohomish,Everett,53061041901,WA,POINT (-122.27557 47.88936)
WRANGLER,1C4RJXN62R,Snohomish,Everett,53061040900,WA,POINT (-122.23019 47.94949)
745E,WBA7W4C07L,Snohomish,Lynnwood,53061041901,WA,POINT (-122.27981 47.85727)
MODEL 3,5YJ3E1EB3J,King,Seatac,53033028402,WA,POINT (-122.27979 47.44952)
MODEL 3,5YJ3E1EA4L,Thurston,Olympia,53067011624,WA,POINT (-122.80933 46.99531)
MODEL X,5YJXCAE4XG,King,Seattle,53033006900,WA,POINT (-122.36381 47.63046)
WRANGLER,1C4JJXP62P,Thurston,Olympia,53067011901,WA,POINT (-122.92018 47.04575)
LEAF,1N4AZ0CPXF,Thurston,Olympia,53067011000,WA,POINT (-123.04078 46.94792)
MODEL 3,5YJ3E1EB3J,King,Auburn,53033030600,WA,POINT (-122.2229 47.307)
RX,JTJCJMGAXR,Walla Walla,Walla Walla,53071920702,WA,POINT (-118.34261 46.07068)
I-PACE,SADHC2S16L,Snohomish,Mukilteo,53061042001,WA,POINT (-122.29196 47.89908)
MODEL 3,5YJ3E1EA2J,Snohomish,Everett,53061041901,WA,POINT (-122.27557 47.88936)
MODEL S,5YJSA1E25J,Kitsap,Poulsbo,53035091205,WA,POINT (-122.64681 47.73689)
KONA,KM8K23AG1P,Yakima,Yakima,53077000200,WA,POINT (-120.50729 46.60464)
MODEL S,5YJSA1DG5D,Kitsap,Bremerton,53035081200,WA,POINT (-122.62749 47.565)
KONA,KM8K23AG1L,Snohomish,Mountlake Terrace,53061051200,WA,POINT (-122.31111 47.78803)
LEAF,1N4AZ1BV1P,Snohomish,Everett,53061041000,WA,POINT (-122.23019 47.94949)
MODEL 3,5YJ3E1EA4J,Snohomish,Snohomish,53061052108,WA,POINT (-122.1389 47.87115)
MODEL 3,5YJ3E1EBXJ,King,Seattle,53033006300,WA,POINT (-122.30207 47.64085)
EV6,KNDC3DLCXP,Thurston,Yelm,53067012412,WA,POINT (-122.60735 46.94239)
RX,JTJCJMGA6R,Skagit,Anacortes,53057940302,WA,POINT (-122.61216 48.51749)
MODEL X,5YJXCBE44G,Snohomish,Bothell,53061051938,WA,POINT (-122.18384 47.8031)
MODEL S,5YJSA1E21H,King,Seattle,53033008102,WA,POINT (-122.34223 47.61085)
MODEL X,5YJXCBE40G,Snohomish,Mill Creek,53061052008,WA,POINT (-122.20105 47.84423)
MODEL X,5YJXCBE24H,King,Seattle,53033008102,WA,POINT (-122.34223 47.61085)
MODEL 3,5YJ3E1EB3L,Kitsap,Bremerton,53035091301,WA,POINT (-122.65223 47.57192)
LEAF,1N4AZ0CP9F,Skagit,Anacortes,53057940500,WA,POINT (-122.61216 48.51749)
NX,JTJHKCFZ8R,Walla Walla,Walla Walla,53071920902,WA,POINT (-118.34261 46.07068)
